"Instance  Ins.","Status  Sta.","Variables  Var.","Binaries  Bin.","Integers  Int.","Continuous  Con.","Constraints  Con.","Nonz.  Non.","Submitter  Sub.","Group  Gro.","Objective  Obj.","Tags  Tag."
"cdma","open","7891","4235","0","3656","9095","168227","Serge Bisaillon","--","-2.48e+16*","numerics aggregations variable_bound set_packing invariant_knapsack binpacking mixed_binary"
"cmflsp50-24-10-4","easy","16440","1440","0","15000","3527","159605","Andrea Arias","cmflsp","58988866.7484","numerics precedence variable_bound mixed_binary"
"control20-5-10-5","easy","1310","100","0","1210","2430","14710","Qie He","control","406205618311810","decomposition numerics variable_bound set_partitioning mixed_binary"
"control30-3-2-3","easy","332","90","0","242","512","1472","Qie He","control","-17.25658927192","decomposition numerics variable_bound set_partitioning mixed_binary"
"control30-5-10-4","easy","1960","150","0","1810","3640","21460","Qie He","control","Infeasible","infeasible decomposition numerics variable_bound set_partitioning mixed_binary"
"cvrpa-n64k9vrpi","open","312726","48192","2259","262275","550111","1064702","Gleb Belov","vrp","2042.0*","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"cvrpb-n45k5vrpi","open","153202","23625","1575","128002","268835","519556","Gleb Belov","pb-","775*","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"cvrpp-n16k8vrpi","open","18294","2832","531","14931","31615","60544","Gleb Belov","vrp","450*","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"cvrpsimple2i","easy","4166","648","243","3275","7023","13248","Gleb Belov","vrp","34","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"dale-cta","easy","37951","4923","0","33028","20097","105440","Jordi Castro","cta","0","decomposition numerics variable_bound mixed_binary"
"diameterc-mstc-v20a190d5i","easy","10613","5053","4352","1208","19686","38503","Gleb Belov","diameterc","414","indicator numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"diameterc-msts-v40a100d5i","easy","14629","5611","5304","3714","21131","40288","Gleb Belov","diameterc","729","indicator numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"dlr2","open","38868107","0","532697","38335410","7132926","78091589","Felix Cebulla","--","143561683710*","numerics aggregations precedence variable_bound mixed_binary general_linear"
"ej","easy","3","0","3","0","1","3","Timo Berthold","--","25508","numerics general_linear"
"elitserienhandball11i","hard","32679","16944","6952","8783","35580","99071","Gleb Belov","elitserienhandball","3","indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"elitserienhandball13i","hard","32791","16976","6976","8839","35758","99381","Gleb Belov","elitserienhandball","5","indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"elitserienhandball14i","hard","32541","16938","6938","8665","35328","98685","Gleb Belov","elitserienhandball","2","indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"elitserienhandball3i","hard","32807","16966","6973","8868","35804","99434","Gleb Belov","elitserienhandball","4","indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"fillomino7x7-0i","easy","12877","4821","4443","3613","17518","33300","Gleb Belov","fillomino","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"fjspeasy01i","easy","17847","8849","8998","0","27264","46454","Gleb Belov","fjsp","253","indicator numerics aggregations precedence variable_bound set_packing invariant_knapsack general_linear"
"gasprod1-1","open","10920","4053","0","6867","27695","201348","Andrew Stamps","gasprod","291.522687722478*","numerics aggregations precedence variable_bound invariant_knapsack binpacking knapsack mixed_binary"
"gasprod1-2","easy","10752","3716","0","7036","27169","200460","Andrew Stamps","gasprod","983.039488258","numerics aggregations precedence variable_bound invariant_knapsack binpacking knapsack mixed_binary"
"gasprod1-3","easy","10752","3717","0","7035","27169","200463","Andrew Stamps","gasprod","2310.0993127","numerics aggregations precedence variable_bound invariant_knapsack binpacking knapsack mixed_binary"
"gasprod2-1","easy","29568","7389","0","22179","73448","282846","Andrew Stamps","gasprod","1628548.2968","numerics aggregations precedence variable_bound invariant_knapsack binpacking mixed_binary"
"gasprod2-2","easy","29568","6826","0","22742","72728","280740","Andrew Stamps","gasprod","1375631.6625","numerics aggregations precedence variable_bound set_packing invariant_knapsack binpacking mixed_binary"
"genus-g31-8","open","3484","3482","1","1","32047","401147","Stephan Beyer","genus","-23*","numerics set_partitioning set_covering cardinality invariant_knapsack knapsack general_linear"
"genus-g61-25","open","14380","14378","1","1","94735","332877","Stephan Beyer","genus","-34*","numerics set_partitioning set_covering cardinality invariant_knapsack knapsack general_linear"
"genus-sym-g31-8","open","3484","3482","1","1","32073","401199","Stephan Beyer","genus","-21*","numerics precedence set_partitioning set_covering cardinality invariant_knapsack knapsack general_linear"
"ger50_17_trans","hard","22414","0","18062","4352","499","172035","C. Raack","ger50","7393.2618","numerics mixed_binary general_linear"
"gfd-schedulen180f7d50m30k18-16i","hard","2226625","1055523","1103442","67660","3447025","7026385","Gleb Belov","gfd-schedule","47","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"gfd-schedulen25f5d20m10k3i","easy","30916","14783","14556","1577","47093","88245","Gleb Belov","gfd-schedule","5","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"gfd-schedulen55f2d50m30k3i","easy","90158","40622","42209","7327","129102","260992","Gleb Belov","gfd-schedule","6","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"ghoulomb4-9-10i","easy","43424","15590","27834","0","56330","118062","Gleb Belov","ghoulomb","44","indicator numerics aggregations precedence variable_bound invariant_knapsack integer_knapsack general_linear"
"gsvm2rl11","open","2001","500","0","1501","1500","253500","Toni Sorrell","supportvectormachine","18121.63800478*","numerics precedence variable_bound mixed_binary"
"gsvm2rl12","open","2001","500","0","1501","1500","253500","Toni Sorrell","supportvectormachine","22.12011638092*","numerics precedence variable_bound mixed_binary"
"gsvm2rl9","open","801","200","0","601","600","41400","Toni Sorrell","supportvectormachine","7438.181167768*","numerics precedence variable_bound mixed_binary"
"hawaiiv10-130","hard","685130","578444","0","106686","1388052","183263061","Jennifer Van Dinter","--","52425028.9449536","numerics aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary"
"k1mushroomi","easy","48104","16419","31685","0","56312","1666560","Gleb Belov","k1mushroom","-3288","indicator numerics aggregations precedence variable_bound general_linear"
"l2p1i","hard","317369","301560","15689","120","30784","641396","Gleb Belov","l2p","6","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack general_linear"
"l2p2i","easy","38196","13113","24938","145","47653","85208","Gleb Belov","l2p","8","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack general_linear"
"lrn","easy","7253","2455","0","4798","8491","46123","MIPLIB submission pool","--","44479255.12362","numerics aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack knapsack mixed_binary"
"mappingmesh3x3mpeg2i","easy","10470","4739","4369","1362","17055","33278","Gleb Belov","mapping","905","indicator numerics aggregations precedence variable_bound set_partitioning cardinality integer_knapsack mixed_binary general_linear"
"mario-t-hard5i","easy","73475","31022","30948","11505","85190","238314","Gleb Belov","mario","-4482","indicator numerics aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary general_linear"
"maxgasflow","easy","7437","2456","0","4981","7160","19717","G. Gamrath","--","-44565819157.51","decomposition numerics aggregations variable_bound mixed_binary"
"mining","open","348921","348920","0","1","661133","3844879","Kelly Eurek","--","-833555203.4089005*","binary numerics precedence invariant_knapsack mixed_binary"
"minutedispatchstrategy","open","41761","20156","0","21605","80194","239480","Mark Husted","--","3109.9034778*","numerics precedence variable_bound invariant_knapsack mixed_binary"
"mod011","easy","10958","96","0","10862","4480","22254","MIPLIB submission pool","mod","-54558535.59","numerics aggregations variable_bound set_packing mixed_binary"
"moj-mining","hard","67519","5171","0","62348","49916","1691236","Alexandra M. Newman","--","-1256561010.473","numerics precedence mixed_binary"
"momentum2","easy","3732","1808","1","1923","24237","237087","T. Koch","momentum","12314.1","numerics aggregations precedence variable_bound set_partitioning invariant_knapsack binpacking mixed_binary general_linear"
"momentum3","open","13532","6598","1","6933","56822","562712","T. Koch","momentum","173904.8*","numerics aggregations precedence variable_bound set_partitioning binpacking mixed_binary general_linear"
"mrcpspj30-15-5i","easy","24376","6192","8921","9263","32659","56963","Gleb Belov","mrcpspj","24","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"mrcpspj30-17-10i","easy","26381","7386","10901","8094","34490","62166","Gleb Belov","mrcpspj","26","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"mrcpspj30-53-3i","easy","24220","6020","8938","9262","32618","56796","Gleb Belov","mrcpspj","34","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"msc98-ip","easy","21143","20237","53","853","15850","92918","E-Plus, D. Bienstock, A. Bley, R. Wessäly","--","19839497.0058743","numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack knapsack integer_knapsack mixed_binary general_linear"
"mspsphard01i","easy","21531","10868","10663","0","32864","59860","Gleb Belov","mspsp","35","indicator numerics aggregations precedence variable_bound set_packing invariant_knapsack general_linear"
"mspsphard03i","easy","32266","18603","13663","0","56333","114618","Gleb Belov","mspsp","30","indicator numerics aggregations precedence variable_bound set_packing set_covering invariant_knapsack binpacking knapsack mixed_binary general_linear"
"nb10tb","open","73340","16880","0","56460","150495","1172289","Serge Bisaillon","--","13797867680.1445*","decomposition numerics aggregations precedence variable_bound set_packing invariant_knapsack binpacking knapsack mixed_binary"
"neos-1061020","easy","14010","10333","3598","79","10618","114508","NEOS Server Submission","neos-pseudoapplication-11","-142745.3","numerics aggregations set_partitioning cardinality general_linear"
"neos-1112782","easy","4140","2070","0","2070","2115","8145","NEOS Server Submission","neos-pseudoapplication-89","571844066711","decomposition numerics variable_bound mixed_binary"
"neos-1112787","easy","3280","1640","0","1640","1680","6440","NEOS Server Submission","neos-pseudoapplication-89","564772773667","decomposition numerics variable_bound mixed_binary"
"neos-1140050","hard","40320","38640","0","1680","3795","808080","NEOS Server Submission","neos-pseudoapplication-101","Infeasible","infeasible decomposition numerics set_partitioning mixed_binary"
"neos-1603965","easy","15003","7999","0","7004","28984","56967","NEOS Server Submission","neos-pseudoapplication-35","619244367.662956","decomposition numerics precedence variable_bound invariant_knapsack mixed_binary"
"neos-2974461-ibar","open","214730","200352","14378","0","214107","2303100","Jeff Linderoth","neos-pseudoapplication-45","468906174.771*","numerics aggregations precedence set_partitioning set_packing integer_knapsack general_linear"
"neos-2987202-jeir","hard","146700","9045","0","137655","120209","1979663","Jeff Linderoth","neos-pseudoapplication-82","-1836136351.2","numerics aggregations precedence mixed_binary"
"neos-3048764-nadi","easy","12360","9390","0","2970","3186","21867","Jeff Linderoth","neos-pseudoapplication-43","-3883988306.4","decomposition numerics precedence variable_bound set_packing mixed_binary"
"neos-3065804-namu","easy","4741","2190","0","2551","3280","574830","Jeff Linderoth","neos-pseudoapplication-41","0","numerics aggregations precedence variable_bound set_packing mixed_binary"
"neos-3068746-nene","open","4890","3815","1075","0","4664","29515","Jeff Linderoth","neos-pseudoapplication-45","61910283.68795*","numerics precedence set_partitioning set_packing integer_knapsack general_linear"
"neos-3075395-nile","easy","26928","1728","0","25200","27756","102672","Jeff Linderoth","neos-pseudoapplication-50","6021720","decomposition numerics aggregations variable_bound set_packing invariant_knapsack knapsack mixed_binary"
"neos-3083784-nive","easy","4779","3240","0","1539","2836","11583","Jeff Linderoth","neos-pseudoapplication-72","0","decomposition numerics aggregations precedence set_partitioning set_packing invariant_knapsack mixed_binary general_linear"
"neos-3135526-osun","easy","192","170","0","22","1546","25750","Jeff Linderoth","neos-pseudoapplication-71","Infeasible","infeasible numerics precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack mixed_binary"
"neos-3355120-tarago","open","7800","4700","3100","0","86633","265500","Hans Mittelmann","neos-pseudoapplication-52","-11115860.311503928*","decomposition numerics aggregations precedence variable_bound set_partitioning set_packing cardinality binpacking integer_knapsack mixed_binary general_linear"
"neos-3373491-avoca","hard","2368","43","2325","0","1570","9438","Jeff Linderoth","neos-pseudoapplication-37","27449084632","numerics aggregations variable_bound invariant_knapsack integer_knapsack general_linear"
"neos-3421095-cinca","easy","896","117","42","737","1218","3678","Jeff Linderoth","neos-pseudoapplication-25","44269368.138","numerics precedence variable_bound set_partitioning invariant_knapsack mixed_binary general_linear"
"neos-3592146-hawea","easy","4870","525","4345","0","995","13880","Jeff Linderoth","neos-pseudoapplication-37","15465800.718","numerics aggregations variable_bound set_packing cardinality integer_knapsack general_linear"
"neos-3615091-sutlej","open","205141","153520","0","51621","449690","1301130","Hans Mittelmann","neos-pseudoapplication-45","-1048730.84101147*","numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack mixed_binary"
"neos-3636886-kereu","easy","13198","6021","6056","1121","13198","77547","Jeff Linderoth","neos-pseudoapplication-45","100001768.08","decomposition numerics aggregations variable_bound integer_knapsack mixed_binary general_linear"
"neos-3661949-lesse","easy","4775","560","4080","135","1140","15180","Jeff Linderoth","neos-pseudoapplication-11","688995225","numerics aggregations precedence set_partitioning set_packing cardinality integer_knapsack general_linear"
"neos-3699377-maori","easy","17233","1856","0","15377","5587","125895","Jeff Linderoth","neos-pseudoapplication-3","135877.224265","decomposition numerics variable_bound mixed_binary"
"neos-3703351-marne","easy","8827","1382","0","7445","4123","55293","Jeff Linderoth","neos-pseudoapplication-3","317056.210386","decomposition numerics variable_bound mixed_binary"
"neos-3734794-moppy","easy","4418","1760","154","2504","4317","22430","Jeff Linderoth","neos-pseudoapplication-25","5900905694.59","decomposition numerics precedence variable_bound set_packing invariant_knapsack mixed_binary general_linear"
"neos-3754224-navua","open","150228","3574","0","146654","232387","652974","Jeff Linderoth","neos-pseudoapplication-83","280713.579943285*","numerics aggregations precedence variable_bound set_partitioning mixed_binary"
"neos-3761878-oglio","easy","6489","1312","0","5177","3871","35511","Jeff Linderoth","neos-pseudoapplication-3","422769.02254","decomposition numerics variable_bound mixed_binary"
"neos-3762025-ognon","easy","4673","948","0","3725","2784","25384","Jeff Linderoth","neos-pseudoapplication-3","607171.50305","decomposition numerics variable_bound mixed_binary"
"neos-4230265-orari","open","32980","13380","10","19590","76374","189026","Jeff Linderoth","neos-pseudoapplication-57","81765.21022354232*","numerics aggregations precedence variable_bound set_covering invariant_knapsack mixed_binary general_linear"
"neos-4232544-orira","open","87060","38280","5700","43080","180600","492456","Jeff Linderoth","neos-pseudoapplication-57","51015596.2014*","numerics aggregations precedence variable_bound set_partitioning set_packing set_covering invariant_knapsack integer_knapsack mixed_binary general_linear"
"neos-4264598-oueme","open","54550","13370","0","41180","54714","191146","Jeff Linderoth","neos-pseudoapplication-57","6038453.676499*","numerics aggregations precedence variable_bound invariant_knapsack mixed_binary general_linear"
"neos-4285819-pedja","open","721438","686647","0","34791","1518618","4866058","Jeff Linderoth","neos-pseudoapplication-79","NA","no_solution numerics aggregations precedence variable_bound set_partitioning invariant_knapsack mixed_binary"
"neos-4290317-perth","open","54708","1042","0","53666","65580","398380","Jeff Linderoth","neos-pseudoapplication-76","3017324.03186391*","decomposition numerics aggregations precedence variable_bound mixed_binary"
"neos-4335793-snake","hard","30827","20473","7865","2489","37166","129119","Jeff Linderoth","neos-pseudoapplication-44","27","numerics aggregations precedence variable_bound set_packing cardinality invariant_knapsack knapsack mixed_binary general_linear"
"neos-4358725-tagus","open","11494","4898","0","6596","22777","59925","Jeff Linderoth","neos-pseudoapplication-57","4206.140099965*","numerics aggregations precedence variable_bound set_partitioning invariant_knapsack mixed_binary general_linear"
"neos-4477313-unzha","easy","2193","2016","0","177","4174","30400","Jeff Linderoth","neos-pseudoapplication-110","Unbounded","numerics set_partitioning mixed_binary"
"neos-4531126-vouga","open","169996","169996","0","0","7694","967980","Jeff Linderoth","neos-pseudoapplication-87","525053.6089188*","binary decomposition numerics set_partitioning cardinality invariant_knapsack binpacking mixed_binary"
"neos-4703857-ahuroa","easy","266502","133470","0","133032","221496","536040","Jeff Linderoth","neos-pseudoapplication-82","7868280750.276","numerics aggregations variable_bound mixed_binary general_linear"
"neos-4954340-beaury","easy","7850","2544","0","5306","20162","77435","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics precedence variable_bound set_packing mixed_binary"
"neos-4954357-bednja","easy","3885","1231","0","2654","9641","49441","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics precedence variable_bound set_packing mixed_binary"
"neos-4960896-besbre","easy","6149","1809","0","4340","14793","98690","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics precedence variable_bound set_packing mixed_binary"
"neos-4966126-blavet","easy","37885","2516","0","35369","109265","320933","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics aggregations precedence variable_bound set_packing mixed_binary"
"neos-4971100-bodrog","easy","11929","1980","0","9949","14998","97827","Jeff Linderoth","neos-pseudoapplication-20","-1.192092895508e-07","numerics aggregations precedence variable_bound mixed_binary"
"neos-4984115-canche","easy","268859","0","65","268794","180214","1351945","Jeff Linderoth","neos-pseudoapplication-69","-9946659.921","numerics aggregations variable_bound mixed_binary general_linear"
"neos-5018451-chiese","easy","265713","1222","244","264247","170175","1249955","Jeff Linderoth","neos-pseudoapplication-69","-147988824.81","numerics aggregations variable_bound mixed_binary general_linear"
"neos-5075914-elvire","easy","5003","2638","0","2365","3720","11440","Jeff Linderoth","neos-pseudoapplication-35","323.83878739","numerics aggregations precedence variable_bound set_packing mixed_binary"
"neos-5081619-ganges","easy","66432","7900","0","58532","187024","547574","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics aggregations precedence variable_bound set_packing mixed_binary"
"neos-5115478-kaveri","easy","3114","2976","0","138","6498","19392","Jeff Linderoth","neos-pseudoapplication-54","1233.99999999096","numerics aggregations precedence mixed_binary"
"neos-5151569-mologa","open","108116","22230","0","85886","45671","517666","Jeff Linderoth","neos-pseudoapplication-82","686789910.917*","numerics aggregations set_packing mixed_binary"
"neos-5157194-moruya","easy","24557","13302","1681","9574","30175","9381778","Jeff Linderoth","neos-pseudoapplication-41","Infeasible","infeasible numerics aggregations variable_bound set_partitioning mixed_binary general_linear"
"neos-520729","easy","91149","30708","0","60441","31178","322203","NEOS Server Submission","neos-pseudoapplication-50","-1385000.000166","numerics aggregations set_partitioning mixed_binary"
"neos-555001","easy","3855","3782","73","0","3474","16649","NEOS Server Submission","neos-pseudoapplication-94","1210625","decomposition numerics aggregations precedence set_partitioning invariant_knapsack mixed_binary general_linear"
"neos-565672","easy","190589","175361","0","15228","318334","809816","NEOS Server Submission","neos-pseudoapplication-82","90693.549539","numerics precedence variable_bound invariant_knapsack mixed_binary"
"neos-585192","easy","2597","1044","0","1553","2628","72396","NEOS Server Submission","neos-pseudoapplication-92","461.1797","numerics aggregations precedence variable_bound mixed_binary"
"neos-585467","easy","2116","846","0","1270","2166","50058","NEOS Server Submission","neos-pseudoapplication-92","399.3739","numerics aggregations precedence variable_bound mixed_binary"
"neos-619167","easy","3452","400","0","3052","6800","20020","NEOS Server Submission","neos-pseudoapplication-83","1.66489361858996","decomposition numerics precedence variable_bound mixed_binary"
"neos-799711","easy","41998","910","0","41088","59218","147164","NEOS Server Submission","neos-pseudoapplication-25","-11170211.734","numerics aggregations precedence variable_bound set_partitioning set_packing cardinality mixed_binary"
"neos-799716","easy","30619","910","0","29709","40418","99928","NEOS Server Submission","neos-pseudoapplication-1","4932670.66169","numerics aggregations precedence variable_bound set_partitioning set_packing cardinality mixed_binary"
"neos-827015","easy","79347","79347","0","0","7688","166239","NEOS Server Submission","neos-pseudoapplication-95","2.31958979","binary numerics precedence set_partitioning cardinality invariant_knapsack"
"neos-829552","easy","40971","40971","0","0","5153","86952","NEOS Server Submission","neos-pseudoapplication-95","2.31958979","binary numerics precedence set_partitioning cardinality invariant_knapsack"
"neos-914441","easy","15007","15006","0","1","15129","59658","NEOS Server Submission","neos-pseudoapplication-75","9347772","decomposition numerics precedence set_partitioning cardinality mixed_binary"
"neos4","easy","22884","17172","0","5712","38577","96042","NEOS Server Submission","neos-pseudoapplication-65","-48603440751","decomposition numerics aggregations precedence variable_bound set_packing mixed_binary"
"npmv07","easy","220686","1880","0","218806","76342","859614","Q. Chen","--","1.0481e+11","numerics aggregations variable_bound mixed_binary"
"ns1679495","open","341780","10580","0","331200","14928","1678355","NEOS Server Submission","neos-pseudoapplication-9","2663944.15*","numerics precedence set_partitioning mixed_binary"
"ns2034125","easy","12000","9000","0","3000","14401","2549071","NEOS Server Submission","neos-pseudoapplication-67","190021","numerics precedence variable_bound invariant_knapsack mixed_binary"
"nu120-pr9","easy","7350","7308","42","0","2220","22176","MIPLIB submission pool","nus-prxy","24945","decomposition numerics aggregations variable_bound cardinality general_linear"
"nu4-pr9","easy","7350","7308","42","0","2220","22176","MIPLIB submission pool","nus-prxy","35520","decomposition numerics aggregations variable_bound cardinality general_linear"
"ofi","easy","420434","29705","0","390729","422587","1775809","Luigi Poderico","--","6155380000","numerics aggregations precedence variable_bound set_partitioning mixed_binary"
"ofi2","open","420434","18632","11073","390729","422587","1775809","Luigi Poderico","--","6153920483.9*","numerics aggregations precedence variable_bound set_partitioning set_covering binpacking knapsack mixed_binary"
"oocsp-racks030e6cci","easy","50862","32783","18079","0","92737","232944","Gleb Belov","oocsp-racks","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning set_covering cardinality invariant_knapsack integer_knapsack general_linear"
"oocsp-racks030f7cci","easy","50859","32779","18080","0","92792","233170","Gleb Belov","oocsp-racks","Infeasible","infeasible feasibility indicator numerics aggregations precedence variable_bound set_partitioning set_covering cardinality invariant_knapsack integer_knapsack general_linear"
"osorio-cta","easy","20409","7","0","20402","230","40860","Jordi Castro","cta","0.0289392002","numerics variable_bound mixed_binary"
"pizza27i","open","311316","115831","195485","0","359835","642512","Gleb Belov","pizza","701882*","indicator numerics aggregations precedence variable_bound set_partitioning cardinality binpacking general_linear"
"pizza78i","open","385067","143886","241181","0","443776","796615","Gleb Belov","pizza","564039*","indicator numerics aggregations precedence variable_bound set_partitioning cardinality binpacking general_linear"
"polygonpack3-15","open","44237","44207","0","30","144478","731949","Antonio Frangioni","polygonpack","-54680307.392604*","numerics precedence variable_bound set_packing invariant_knapsack mixed_binary"
"polygonpack4-10","open","20537","20517","0","20","65935","339036","Antonio Frangioni","polygonpack","-53594065.703*","numerics set_packing invariant_knapsack mixed_binary"
"polygonpack4-15","open","44237","44207","0","30","144478","731949","Antonio Frangioni","polygonpack","-63613612.41121812*","numerics set_packing invariant_knapsack mixed_binary"
"polygonpack4-7","open","10788","10774","0","14","34529","178591","Antonio Frangioni","polygonpack","-51837707.9503404*","numerics set_packing invariant_knapsack mixed_binary"
"polygonpack5-15","open","48163","48133","0","30","163429","804740","Antonio Frangioni","polygonpack","-54950356.2656221*","numerics precedence variable_bound set_packing invariant_knapsack mixed_binary"
"proteindesign121hz512p19","open","2589931","2589840","91","0","301","10331137","Gleb Belov","proteindesign","3382.0*","numerics set_partitioning general_linear"
